iso_code,country,current_population,updated_datetime
CHN,China,"1,443,839,846",2021-06-02 12:55:28.499834
IND,India,"1,392,365,583",2021-06-02 12:55:28.499834
USA,United States,"332,764,085",2021-06-02 12:55:28.499834
IDN,Indonesia,"276,140,523",2021-06-02 12:55:28.499834
PAK,Pakistan,"224,866,511",2021-06-02 12:55:28.499834
BRA,Brazil,"213,882,580",2021-06-02 12:55:28.499834
NGA,Nigeria,"210,990,407",2021-06-02 12:55:28.499834
BGD,Bangladesh,"166,178,837",2021-06-02 12:55:28.499834
RUS,Russia,"145,913,619",2021-06-02 12:55:28.499834
MEX,Mexico,"130,158,702",2021-06-02 12:55:28.499834
JPN,Japan,"126,083,592",2021-06-02 12:55:28.499834
ETH,Ethiopia,"117,649,844",2021-06-02 12:55:28.499834
PHL,Philippines,"110,932,526",2021-06-02 12:55:28.499834
EGY,Egypt,"104,108,790",2021-06-02 12:55:28.499834
VNM,Vietnam,"98,104,510",2021-06-02 12:55:28.499834
COD,Dr Congo,"92,158,697",2021-06-02 12:55:28.499834
TUR,Turkey,"84,984,364",2021-06-02 12:55:28.499834
IRN,Iran,"84,949,750",2021-06-02 12:55:28.499834
DEU,Germany,"83,890,540",2021-06-02 12:55:28.499834
THA,Thailand,"69,939,124",2021-06-02 12:55:28.499834
GBR,United Kingdom,"68,181,501",2021-06-02 12:55:28.499834
FRA,France,"65,413,770",2021-06-02 12:55:28.499834
TZA,Tanzania,"61,360,968",2021-06-02 12:55:28.499834
ITA,Italy,"60,373,682",2021-06-02 12:55:28.499834
ZAF,South Africa,"59,984,872",2021-06-02 12:55:28.499834
KEN,Kenya,"54,890,893",2021-06-02 12:55:28.499834
MMR,Myanmar,"54,775,416",2021-06-02 12:55:28.499834
KOR,South Korea,"51,301,742",2021-06-02 12:55:28.499834
COL,Colombia,"51,234,366",2021-06-02 12:55:28.499834
UGA,Uganda,"47,015,377",2021-06-02 12:55:28.499834
ESP,Spain,"46,746,326",2021-06-02 12:55:28.499834
ARG,Argentina,"45,573,921",2021-06-02 12:55:28.499834
SDN,Sudan,"44,827,014",2021-06-02 12:55:28.499834
DZA,Algeria,"44,557,823",2021-06-02 12:55:28.499834
UKR,Ukraine,"43,487,254",2021-06-02 12:55:28.499834
IRQ,Iraq,"41,103,899",2021-06-02 12:55:28.499834
AFG,Afghanistan,"39,764,217",2021-06-02 12:55:28.499834
CAN,Canada,"38,042,373",2021-06-02 12:55:28.499834
POL,Poland,"37,801,303",2021-06-02 12:55:28.499834
MAR,Morocco,"37,311,154",2021-06-02 12:55:28.499834
SAU,Saudi Arabia,"35,298,617",2021-06-02 12:55:28.499834
UZB,Uzbekistan,"33,899,816",2021-06-02 12:55:28.499834
AGO,Angola,"33,850,076",2021-06-02 12:55:28.499834
PER,Peru,"33,329,363",2021-06-02 12:55:28.499834
MYS,Malaysia,"32,744,602",2021-06-02 12:55:28.499834
MOZ,Mozambique,"32,092,576",2021-06-02 12:55:28.499834
GHA,Ghana,"31,680,813",2021-06-02 12:55:28.499834
YEM,Yemen,"30,438,897",2021-06-02 12:55:28.499834
NPL,Nepal,"29,637,180",2021-06-02 12:55:28.499834
VEN,Venezuela,"28,686,739",2021-06-02 12:55:28.499834
MDG,Madagascar,"28,370,063",2021-06-02 12:55:28.499834
CMR,Cameroon,"27,171,412",2021-06-02 12:55:28.499834
CIV,Ivory Coast,"27,001,146",2021-06-02 12:55:28.499834
PRK,North Korea,"25,878,702",2021-06-02 12:55:28.499834
AUS,Australia,"25,765,531",2021-06-02 12:55:28.499834
NER,Niger,"25,058,582",2021-06-02 12:55:28.499834
TWN,Taiwan,"23,851,993",2021-06-02 12:55:28.499834
LKA,Sri Lanka,"21,490,735",2021-06-02 12:55:28.499834
BFA,Burkina Faso,"21,450,761",2021-06-02 12:55:28.499834
MLI,Mali,"20,808,631",2021-06-02 12:55:28.499834
MWI,Malawi,"19,607,326",2021-06-02 12:55:28.499834
CHL,Chile,"19,204,050",2021-06-02 12:55:28.499834
ROU,Romania,"19,136,426",2021-06-02 12:55:28.499834
KAZ,Kazakhstan,"18,978,027",2021-06-02 12:55:28.499834
ZMB,Zambia,"18,878,727",2021-06-02 12:55:28.499834
SYR,Syria,"18,226,777",2021-06-02 12:55:28.499834
GTM,Guatemala,"18,223,903",2021-06-02 12:55:28.499834
ECU,Ecuador,"17,869,292",2021-06-02 12:55:28.499834
SEN,Senegal,"17,161,123",2021-06-02 12:55:28.499834
NLD,Netherlands,"17,170,167",2021-06-02 12:55:28.499834
KHM,Cambodia,"16,928,792",2021-06-02 12:55:28.499834
TCD,Chad,"16,876,847",2021-06-02 12:55:28.499834
SOM,Somalia,"16,323,216",2021-06-02 12:55:28.499834
ZWE,Zimbabwe,"15,073,984",2021-06-02 12:55:28.499834
GIN,Guinea,"13,469,153",2021-06-02 12:55:28.499834
RWA,Rwanda,"13,251,467",2021-06-02 12:55:28.499834
BEN,Benin,"12,425,482",2021-06-02 12:55:28.499834
BDI,Burundi,"12,227,142",2021-06-02 12:55:28.499834
TUN,Tunisia,"11,926,858",2021-06-02 12:55:28.499834
BOL,Bolivia,"11,820,502",2021-06-02 12:55:28.499834
BEL,Belgium,"11,628,882",2021-06-02 12:55:28.499834
HTI,Haiti,"11,530,841",2021-06-02 12:55:28.499834
SSD,South Sudan,"11,366,578",2021-06-02 12:55:28.499834
CUB,Cuba,"11,318,160",2021-06-02 12:55:28.499834
DOM,Dominican Republic,"10,945,506",2021-06-02 12:55:28.499834
CZE,Czech Republic,"10,723,445",2021-06-02 12:55:28.499834
GRC,Greece,"10,374,729",2021-06-02 12:55:28.499834
JOR,Jordan,"10,261,906",2021-06-02 12:55:28.499834
AZE,Azerbaijan,"10,216,796",2021-06-02 12:55:28.499834
PRT,Portugal,"10,170,259",2021-06-02 12:55:28.499834
SWE,Sweden,"10,155,416",2021-06-02 12:55:28.499834
HND,Honduras,"10,050,696",2021-06-02 12:55:28.499834
ARE,United Arab Emirates,"9,983,120",2021-06-02 12:55:28.499834
TJK,Tajikistan,"9,733,290",2021-06-02 12:55:28.499834
HUN,Hungary,"9,636,270",2021-06-02 12:55:28.499834
BLR,Belarus,"9,443,403",2021-06-02 12:55:28.499834
PNG,Papua New Guinea,"9,105,633",2021-06-02 12:55:28.499834
AUT,Austria,"9,040,110",2021-06-02 12:55:28.499834
ISR,Israel,"8,779,357",2021-06-02 12:55:28.499834
CHE,Switzerland,"8,710,599",2021-06-02 12:55:28.499834
SRB,Serbia,"8,700,595",2021-06-02 12:55:28.499834
TGO,Togo,"8,462,653",2021-06-02 12:55:28.499834
SLE,Sierra Leone,"8,128,564",2021-06-02 12:55:28.499834
HKG,Hong Kong,"7,548,455",2021-06-02 12:55:28.499834
LAO,Laos,"7,371,360",2021-06-02 12:55:28.499834
PRY,Paraguay,"7,212,893",2021-06-02 12:55:28.499834
LBY,Libya,"6,952,014",2021-06-02 12:55:28.499834
BGR,Bulgaria,"6,900,676",2021-06-02 12:55:28.499834
LBN,Lebanon,"6,771,309",2021-06-02 12:55:28.499834
NIC,Nicaragua,"6,696,294",2021-06-02 12:55:28.499834
KGZ,Kyrgyzstan,"6,620,301",2021-06-02 12:55:28.499834
SLV,El Salvador,"6,516,023",2021-06-02 12:55:28.499834
TKM,Turkmenistan,"6,111,207",2021-06-02 12:55:28.499834
SGP,Singapore,"5,892,929",2021-06-02 12:55:28.499834
DNK,Denmark,"5,811,647",2021-06-02 12:55:28.499834
COG,Republic Of The Congo,"5,646,198",2021-06-02 12:55:28.499834
FIN,Finland,"5,547,734",2021-06-02 12:55:28.499834
NOR,Norway,"5,462,072",2021-06-02 12:55:28.499834
SVK,Slovakia,"5,460,693",2021-06-02 12:55:28.499834
OMN,Oman,"5,213,783",2021-06-02 12:55:28.499834
PSE,Palestine,"5,213,413",2021-06-02 12:55:28.499834
LBR,Liberia,"5,170,611",2021-06-02 12:55:28.499834
CRI,Costa Rica,"5,135,580",2021-06-02 12:55:28.499834
IRL,Ireland,"4,979,520",2021-06-02 12:55:28.499834
CAF,Central African Republic,"4,913,122",2021-06-02 12:55:28.499834
NZL,New Zealand,"4,857,598",2021-06-02 12:55:28.499834
MRT,Mauritania,"4,765,385",2021-06-02 12:55:28.499834
PAN,Panama,"4,376,427",2021-06-02 12:55:28.499834
KWT,Kuwait,"4,323,512",2021-06-02 12:55:28.499834
HRV,Croatia,"4,083,501",2021-06-02 12:55:28.499834
MDA,Moldova,"4,024,816",2021-06-02 12:55:28.499834
GEO,Georgia,"3,980,533",2021-06-02 12:55:28.499834
ERI,Eritrea,"3,597,198",2021-06-02 12:55:28.499834
URY,Uruguay,"3,484,269",2021-06-02 12:55:28.499834
MNG,Mongolia,"3,325,333",2021-06-02 12:55:28.499834
BIH,Bosnia And Herzegovina,"3,265,031",2021-06-02 12:55:28.499834
JAM,Jamaica,"2,972,524",2021-06-02 12:55:28.499834
ARM,Armenia,"2,967,757",2021-06-02 12:55:28.499834
QAT,Qatar,"2,926,316",2021-06-02 12:55:28.499834
ALB,Albania,"2,873,360",2021-06-02 12:55:28.499834
PRI,Puerto Rico,"2,831,073",2021-06-02 12:55:28.499834
LTU,Lithuania,"2,692,395",2021-06-02 12:55:28.499834
NAM,Namibia,"2,583,758",2021-06-02 12:55:28.499834
GMB,Gambia,"2,481,480",2021-06-02 12:55:28.499834
BWA,Botswana,"2,393,769",2021-06-02 12:55:28.499834
GAB,Gabon,"2,274,641",2021-06-02 12:55:28.499834
LSO,Lesotho,"2,157,741",2021-06-02 12:55:28.499834
MKD,North Macedonia,"2,082,743",2021-06-02 12:55:28.499834
SVN,Slovenia,"2,078,724",2021-06-02 12:55:28.499834
GNB,Guinea Bissau,"2,011,794",2021-06-02 12:55:28.499834
LVA,Latvia,"1,868,422",2021-06-02 12:55:28.499834
BHR,Bahrain,"1,744,710",2021-06-02 12:55:28.499834
GNQ,Equatorial Guinea,"1,446,253",2021-06-02 12:55:28.499834
